City,Cuisine Style,New
Amsterdam, Afghani,3
Amsterdam, African,5
Amsterdam, American,34
Amsterdam, Arabic,12
Amsterdam, Argentinean,65
Amsterdam, Asian,234
Amsterdam, Australian,5
Amsterdam, Austrian,1
Amsterdam, Balti,5
Amsterdam, Bar,331
Amsterdam, Barbecue,79
Amsterdam, Belgian,4
Amsterdam, Brazilian,3
Amsterdam, Brew Pub,2
Amsterdam, British,19
Amsterdam, Cafe,222
Amsterdam, Cajun & Creole,2
Amsterdam, Caribbean,4
Amsterdam, Central American,11
Amsterdam, Central Asian,1
Amsterdam, Central European,54
Amsterdam, Chinese,5
Amsterdam, Colombian,3
Amsterdam, Contemporary,47
Amsterdam, Cuban,1
Amsterdam, Danish,2
Amsterdam, Delicatessen,32
Amsterdam, Diner,32
Amsterdam, Dutch,294
Amsterdam, Eastern European,2
Amsterdam, Ecuadorean,1
Amsterdam, Egyptian,6
Amsterdam, Ethiopian,13
Amsterdam, European,1333
Amsterdam, Fast Food,96
Amsterdam, French,68
Amsterdam, Fujian,1
Amsterdam, Fusion,55
Amsterdam, Gastropub,21
Amsterdam, German,5
Amsterdam, Gluten Free Options,514
Amsterdam, Greek,23
Amsterdam, Grill,81
Amsterdam, Halal,51
Amsterdam, Hawaiian,4
Amsterdam, Healthy,68
Amsterdam, Indian,3
Amsterdam, Indonesian,70
Amsterdam, International,264
Amsterdam, Irish,1
Amsterdam, Israeli,7
Amsterdam, Italian,37
Amsterdam, Jamaican,4
Amsterdam, Japanese,35
Amsterdam, Korean,9
Amsterdam, Kosher,3
Amsterdam, Latin,24
Amsterdam, Lebanese,3
Amsterdam, Malaysian,2
Amsterdam, Mediterranean,260
Amsterdam, Mexican,5
Amsterdam, Middle Eastern,66
Amsterdam, Minority Chinese,2
Amsterdam, Moroccan,18
Amsterdam, Nepali,11
Amsterdam, New Zealand,1
Amsterdam, Norwegian,1
Amsterdam, Pakistani,8
Amsterdam, Persian,6
Amsterdam, Peruvian,1
Amsterdam, Pizza,174
Amsterdam, Portuguese,11
Amsterdam, Pub,293
Amsterdam, Romanian,1
Amsterdam, Scandinavian,4
Amsterdam, Seafood,98
Amsterdam, Singaporean,1
Amsterdam, Soups,42
Amsterdam, South American,59
Amsterdam, Southwestern,5
Amsterdam, Spanish,77
Amsterdam, Steakhouse,34
Amsterdam, Street Food,24
Amsterdam, Sushi,82
Amsterdam, Swedish,2
Amsterdam, Swiss,5
Amsterdam, Taiwanese,1
Amsterdam, Thai,65
Amsterdam, Tibetan,5
Amsterdam, Tunisian,2
Amsterdam, Turkish,36
Amsterdam, Vegan Options,540
Amsterdam, Vegetarian Friendly,1329
Amsterdam, Vietnamese,24
Amsterdam, Wine Bar,20
Amsterdam,African,19
Amsterdam,American,123
Amsterdam,Argentinean,10
Amsterdam,Asian,144
Amsterdam,Australian,1
Amsterdam,Bar,185
Amsterdam,Barbecue,12
Amsterdam,Belgian,15
Amsterdam,Brazilian,8
Amsterdam,Brew Pub,2
Amsterdam,Cafe,113
Amsterdam,Cajun & Creole,1
Amsterdam,Caribbean,13
Amsterdam,Chinese,96
Amsterdam,Contemporary,10
Amsterdam,Delicatessen,11
Amsterdam,Diner,3
Amsterdam,Dutch,575
Amsterdam,Ethiopian,1
Amsterdam,European,176
Amsterdam,Fast Food,35
Amsterdam,French,159
Amsterdam,Fusion,5
Amsterdam,Georgian,1
Amsterdam,German,3
Amsterdam,Greek,7
Amsterdam,Grill,10
Amsterdam,Halal,1
Amsterdam,Hawaiian,1
Amsterdam,Healthy,20
Amsterdam,Indian,73
Amsterdam,Indonesian,14
Amsterdam,International,107
Amsterdam,Irish,6
Amsterdam,Israeli,1
Amsterdam,Italian,368
Amsterdam,Japanese,85
Amsterdam,Korean,1
Amsterdam,Kosher,1
Amsterdam,Latin,9
Amsterdam,Lebanese,14
Amsterdam,Mediterranean,109
Amsterdam,Mexican,39
Amsterdam,Middle Eastern,18
Amsterdam,Moroccan,12
Amsterdam,New Zealand,3
Amsterdam,Peruvian,3
Amsterdam,Pizza,25
Amsterdam,Pub,14
Amsterdam,Russian,1
Amsterdam,Seafood,35
Amsterdam,Singaporean,1
Amsterdam,Soups,5
Amsterdam,South American,4
Amsterdam,Southwestern,1
Amsterdam,Spanish,14
Amsterdam,Steakhouse,85
Amsterdam,Street Food,1
Amsterdam,Sushi,8
Amsterdam,Swedish,1
Amsterdam,Swiss,1
Amsterdam,Thai,9
Amsterdam,Tibetan,1
Amsterdam,Turkish,40
Amsterdam,Vegan Options,1
Amsterdam,Vegetarian Friendly,22
Amsterdam,Vietnamese,1
Amsterdam,Wine Bar,3
Amsterdam,nan,488
Athens, African,1
Athens, Albanian,1
Athens, American,15
Athens, Arabic,6
Athens, Argentinean,1
Athens, Armenian,4
Athens, Asian,50
Athens, Azerbaijani,1
Athens, Bangladeshi,6
Athens, Bar,49
Athens, Barbecue,47
Athens, Brew Pub,6
Athens, British,7
Athens, Cafe,73
Athens, Caribbean,1
Athens, Central American,9
Athens, Central European,9
Athens, Chinese,2
Athens, Colombian,1
Athens, Contemporary,20
Athens, Czech,3
Athens, Delicatessen,11
Athens, Diner,27
Athens, Eastern European,6
Athens, Egyptian,1
Athens, Ethiopian,2
Athens, European,168
Athens, Fast Food,51
Athens, French,7
Athens, Fusion,8
Athens, Gastropub,11
Athens, German,1
Athens, Gluten Free Options,134
Athens, Greek,665
Athens, Grill,41
Athens, Halal,6
Athens, Hawaiian,1
Athens, Healthy,21
Athens, International,35
Athens, Italian,17
Athens, Japanese,8
Athens, Korean,3
Athens, Kosher,1
Athens, Latin,8
Athens, Lebanese,2
Athens, Malaysian,1
Athens, Mediterranean,302
Athens, Mexican,2
Athens, Middle Eastern,22
Athens, Moroccan,1
Athens, Pakistani,4
Athens, Peruvian,1
Athens, Pizza,38
Athens, Pub,87
Athens, Romanian,1
Athens, Russian,1
Athens, Scottish,1
Athens, Seafood,21
Athens, Singaporean,1
Athens, Soups,9
Athens, South American,5
Athens, Spanish,12
Athens, Steakhouse,4
Athens, Street Food,22
Athens, Sushi,22
Athens, Thai,8
Athens, Turkish,6
Athens, Vegan Options,295
Athens, Vegetarian Friendly,443
Athens, Venezuelan,1
Athens, Vietnamese,2
Athens, Wine Bar,56
Athens,African,5
Athens,American,42
Athens,Arabic,2
Athens,Argentinean,1
Athens,Asian,6
Athens,Australian,1
Athens,Bar,77
Athens,Barbecue,9
Athens,Brazilian,2
Athens,Brew Pub,3
Athens,Cafe,95
Athens,Caribbean,1
Athens,Chinese,24
Athens,Contemporary,5
Athens,Delicatessen,1
Athens,Diner,7
Athens,Eastern European,1
Athens,European,33
Athens,Fast Food,40
Athens,French,16
Athens,Fusion,2
Athens,Gastropub,1
Athens,German,4
Athens,Greek,333
Athens,Grill,6
Athens,Healthy,5
Athens,Indian,33
Athens,International,31
Athens,Irish,1
Athens,Italian,107
Athens,Japanese,20
Athens,Latin,1
Athens,Lebanese,5
Athens,Mediterranean,442
Athens,Mexican,13
Athens,Middle Eastern,5
Athens,Peruvian,1
Athens,Pizza,14
Athens,Polynesian,1
Athens,Pub,6
Athens,Russian,1
Athens,Seafood,57
Athens,Spanish,1
Athens,Steakhouse,51
Athens,Sushi,5
Athens,Swiss,1
Athens,Turkish,5
Athens,Vegan Options,2
Athens,Vegetarian Friendly,2
Athens,Wine Bar,9
Athens,nan,351
Barcelona, Afghani,1
Barcelona, African,4
Barcelona, Albanian,1
Barcelona, American,52
Barcelona, Arabic,7
Barcelona, Argentinean,92
Barcelona, Armenian,2
Barcelona, Asian,322
Barcelona, Australian,1
Barcelona, Bar,192
Barcelona, Barbecue,80
Barcelona, Belgian,4
Barcelona, Brazilian,12
Barcelona, Brew Pub,14
Barcelona, British,11
Barcelona, Cafe,145
Barcelona, Cajun & Creole,2
Barcelona, Cambodian,2
Barcelona, Caribbean,9
Barcelona, Central American,33
Barcelona, Central Asian,6
Barcelona, Central European,14
Barcelona, Chilean,4
Barcelona, Chinese,12
Barcelona, Colombian,20
Barcelona, Contemporary,114
Barcelona, Croatian,1
Barcelona, Cuban,10
Barcelona, Delicatessen,90
Barcelona, Diner,38
Barcelona, Eastern European,11
Barcelona, Ecuadorean,3
Barcelona, Egyptian,2
Barcelona, Ethiopian,2
Barcelona, European,1628
Barcelona, Fast Food,188
Barcelona, Filipino,1
Barcelona, French,15
Barcelona, Fusion,226
Barcelona, Gastropub,67
Barcelona, German,7
Barcelona, Gluten Free Options,926
Barcelona, Greek,19
Barcelona, Grill,56
Barcelona, Halal,62
Barcelona, Hawaiian,3
Barcelona, Healthy,179
Barcelona, Hungarian,1
Barcelona, Indian,13
Barcelona, Indonesian,6
Barcelona, International,160
Barcelona, Irish,3
Barcelona, Israeli,6
Barcelona, Italian,62
Barcelona, Jamaican,1
Barcelona, Japanese,52
Barcelona, Korean,21
Barcelona, Kosher,3
Barcelona, Latin,101
Barcelona, Lebanese,8
Barcelona, Malaysian,2
Barcelona, Mediterranean,1284
Barcelona, Mexican,15
Barcelona, Middle Eastern,83
Barcelona, Minority Chinese,4
Barcelona, Mongolian,1
