WORD,DEFINITION
abacus,frame with balls for calculating       
abate,to lessen to subside        
abdication,giving up control authority        
aberration,straying away from what is normal      
abet,help/encourage smb (in doing wrong)     
abeyance,suspended action          
abhor,to hate to detest        
abide,be faithful to endure        
abjure,promise or swear to give up      
abraded,rubbed off worn away by friction      
abrogate,repeal or annul by authority       
abscond,to go away suddenly (to avoid arrest)     
abstruse,difficult to comprehend obscure        
abut,border on          
abysmal,bottomless extreme          
acarpous,effete no longer fertile worn out      
acclaimed,welcomed with shouts and approval       
accolade,praise approval          
accretion,the growing of separate things into one     
adamant,kind of stone inflexible        
admonitory,containing warning          
adorn,add beauty decorate         
adulteration,making unpure poorer in quality       
affable,polite and friendly       
affinity,close connection relationship         
aggravate,make worse irritate         
agile,active quick-moving          
agog,eager/excited         
ail,trouble be ill         
alacrity,eager and cheerful readiness        
alcove,recess/partially enclosed place       
allegiance,duty support loyalty         
alleviate,make (pain) easier to bear       
alloy,to debase by mixing with something inferior     
aloof,reserved indifferent          
amalgamate,mix combine unite societies        
ambidextrous,able to use the left hand or the right equally well 
ambiguous,doubtful uncertain          
ambivalent,having both of two contrary meanings      
ameliorate,improve make better         
amortize,end (a debt) by setting aside money     
anguish,severe suffering        
animosity,strong dislike          
antidote,medicine used against a poison or a disease    
antithetical,direct opposing          
apartheid,brutal racial discrimination         
aplomb,self-confidence           
apostate,one who abandons long-held religious or political convictions    
apotheosis,deification glorification to godliness        
appease,make quiet or calm        
apprehensive,grasping understanding fear unhappy feeling about future     
apprise,give notice to inform        
approbation,approval           
apropos,appropriate to the situation apt       
apt,well-suited quick-witted          
arabesque,a complex ornate design        
arboreal,of connected with trees        
ardor,enthusiasm           
arduous,steep difficult ascent laborious        
argot,jargon slang          
arrant,in the highest degree        
arrogance,proud superior manner of behaviour       
articulate,speak distinctly connect by joints       
ascend,go or come up        
ascertain,get to know         
ascetic,practicing self-denial austere stark        
ascribe,consider to be the origin of or belonging to   
aseptic,surgically clean        
asperity,roughness harshness ill temper irritability       
aspersion,slander           
assail,with attack violently         
assiduous,diligent hard-working sedulous         
assuage,make smth (pain desire) less       
asterisk,the mark * (e.g.. omitted letters)      
astringent,substance that shrinks         
astute,clever quick at seeing to get an advantage    
atonement,repayment death of Jesus        
attenuate,make thin. weaken enervate        
attune,bring into harmony       
audacious,daring foolishly bold impudent        
augury,omen sign          
august,majestic venerable          
auspicious,favorable successful prosperous         
austere,severely moral and strict simple and plain     
auxiliary,helping supporting          
aver,affirm assert prove justify        
aversion,strong dislike          
avid,eager greedy          
avow,admit. Declare openly         
baleful,harmful ominous causing evil        
balk,obstacle purposely to get on the way of    
baneful,causing harm or ruin pernicious destructive      
barrage,artificial obstacle built across a river      
barren,not good enough unable to have young ones without value  
bask,in enjoy warmth and light       
beatify,to bless make happy or ascribe a virtue to   
bedizen,to adorn especially in a cheap showy manner    
belabor,beat hard        
bellicose,belligerent pugnacious warlike         
belligerent,(person nation) waging war        
benefactor,person who has given help       
benevolence,wish or activity in doing good      
benign,kind and gentle mild (climate)       
bequest,arrangement to give smth at death      
berate,scold sharply          
bereft,rob or dispossess of smth (material)      
bewilder,puzzle confuse          
bigot,stubborn narrow-minded person         
bilge,bulge the protuberance of a cask      
blandishment,flattery coaxing          
blandness,polite manner comforting uninteresting        
blatant,noisy and rough         
blithe,cheerful casual carefree         
bogus,sham counterfeit not genuine        
